attack	k_i	depth	L0	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14
SA1	110	7	0	1	2965	23143	50865	59950	32288	37543	0	0	0	0	0	0	0	
SA1	110	9	0	1	2888	22106	48914	57628	30438	20934	13700	9885	0	0	0	0	0	
SA1	110	11	0	3	2940	22286	49748	57034	30254	20204	13695	6982	3105	1027	0	0	0	
SA1	130	1	0	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	130	3	0	0	2884	147300	0	0	0	0	0	0	0	0	0	0	0	
SA1	130	5	0	3	2945	24390	62803	121783	0	0	0	0	0	0	0	0	0	
SA1	130	7	0	3	2713	21654	51321	63084	34318	38522	0	0	0	0	0	0	0	
SA1	130	9	0	3	2687	20852	49978	59901	32327	21435	14553	10198	0	0	0	0	0	
SA1	130	11	0	7	2622	20840	49786	60299	31186	21350	14239	7046	3187	1158	0	0	0	
SA1	150	1	0	3922	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	150	3	0	1	3071	157054	0	0	0	0	0	0	0	0	0	0	0	
SA1	150	5	0	2	2766	23127	63225	126038	0	0	0	0	0	0	0	0	0	
SA1	150	7	0	3	2577	19899	52346	64871	35968	39414	0	0	0	0	0	0	0	
SA1	150	9	0	2	2522	19722	49419	61616	33562	22298	14996	10626	0	0	0	0	0	
SA1	150	11	0	2	2601	19613	49172	61786	33453	21812	14742	7280	3288	1115	0	0	0	
SA1	170	1	0	4504	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	170	3	0	1	2964	165310	0	0	0	0	0	0	0	0	0	0	0	
SA1	170	5	0	4	2704	22409	64141	128356	0	0	0	0	0	0	0	0	0	
SA1	170	7	0	1	2553	19285	51725	66318	37278	40235	0	0	0	0	0	0	0	
SA1	170	9	0	2	2493	18958	49404	63402	34150	23060	15564	10492	0	0	0	0	0	
SA1	170	11	0	6	2688	19302	49555	63056	33840	22437	14949	7576	3224	1148	0	0	0	
SA1	190	1	0	5046	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	190	3	0	1	3155	174041	0	0	0	0	0	0	0	0	0	0	0	
SA1	190	5	0	10	2653	22470	64117	130758	0	0	0	0	0	0	0	0	0	
SA1	190	7	0	4	2448	19114	52302	67161	37762	41396	0	0	0	0	0	0	0	
SA1	190	9	0	1	2446	18670	49959	64236	35044	23451	15968	10456	0	0	0	0	0	
SA1	190	11	0	2	2365	18686	49632	64746	34476	22798	15352	7787	3214	1215	0	0	0	
SA1	210	1	0	5610	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	210	3	0	0	3378	177149	0	0	0	0	0	0	0	0	0	0	0	
SA1	210	5	0	2	2693	21839	65037	132689	0	0	0	0	0	0	0	0	0	
SA1	210	7	0	2	2456	18902	53012	68641	37821	41720	0	0	0	0	0	0	0	
SA1	210	9	0	4	2478	18387	50272	65322	35242	23624	15954	10942	0	0	0	0	0	
SA1	210	11	0	2	2457	18375	50065	64323	35314	23650	15804	7879	3162	1309	0	0	0	
